Input1,Input2,Output
136.0,60.0,0.906356874198648
-41.0,60.0,0.3329102934986508
-48.0,60.0,0.44967030787281864
150.0,60.0,0.9225184163727741
-49.0,60.0,0.4607711744730975
126.0,60.0,0.8894959288853618
52.0,60.0,0.5120489481276029
81.0,60.0,0.758380198470529
71.0,60.0,0.691631908698397
-16.0,60.0,0.0008124903049089692
-30.0,60.0,0.1319028205975917
89.0,60.0,0.7954946627135131
52.0,60.0,0.5045168559996527
-41.0,60.0,0.3308996909530103
106.0,60.0,0.8474090281688764
117.0,60.0,0.8743680846510233
127.0,60.0,0.891075979398132
40.0,60.0,0.32041301465478655
142.0,60.0,0.9120242001073139
133.0,60.0,0.9012264626366618
-4.0,60.0,1.339954159080788e-49
99.0,60.0,0.8281264550640149
16.0,60.0,0.0007988895192599735
76.0,60.0,0.7298386973010359
135.0,60.0,0.9033300682407109
75.0,60.0,0.7184496915665852
35.0,60.0,0.22984279022986642
11.0,60.0,2.1423230387355212e-07
129.0,60.0,0.8955076560031393
84.0,60.0,0.7744820443112576
130.0,60.0,0.8967013101773986
137.0,60.0,0.9084246570247501
23.0,60.0,0.030019194782764342
49.0,60.0,0.4625892717561981
89.0,60.0,0.7947641572533531
68.0,60.0,0.6695322694601517
52.0,60.0,0.5091364910111421
144.0,60.0,0.91513152718822
59.0,60.0,0.596190042292256
30.0,60.0,0.13527210023858335
0.0,60.0,0.0
150.0,60.0,0.9215417190108817
55.0,60.0,0.5433958947857611
143.0,60.0,0.9139116585720919
126.0,60.0,0.8903180569824314
29.0,60.0,0.11180255168689467
146.0,60.0,0.9178846469009418
67.0,60.0,0.6691806164629335
34.0,60.0,0.20931940729755505
8.0,60.0,6.071302081013697e-13
-43.0,60.0,0.37574532369482894
149.0,60.0,0.9203525744239968
85.0,60.0,0.7738904858270618
113.0,60.0,0.8665660869052292
86.0,60.0,0.7823001945100896
24.0,60.0,0.04390958992742937
70.0,60.0,0.6842683389192722
-12.0,60.0,3.3181030977330424e-06
130.0,60.0,0.8960657692170799
76.0,60.0,0.7313805488092506
21.0,60.0,0.016581645037010852
98.0,60.0,0.8276898364324808
121.0,60.0,0.8825805905680213
136.0,60.0,0.9043047536023314
94.0,60.0,0.8138506796679298
134.0,60.0,0.9022939039045379
115.0,60.0,0.8727349305062599
47.0,60.0,0.43918742771935465
121.0,60.0,0.8831649691885289
-30.0,60.0,0.13461889620710163
109.0,60.0,0.8589535569228621
-44.0,60.0,0.38883687209652673
130.0,60.0,0.8980541260148327
146.0,60.0,0.9174742568214734
103.0,60.0,0.8392420356481024
-37.0,60.0,0.26836111369526006
35.0,60.0,0.22034517809004886
132.0,60.0,0.901797651811708
73.0,60.0,0.7055516331139725
40.0,60.0,0.3243485678288652
119.0,60.0,0.8796790993094533
2.0,60.0,1.3774173602009774e-196
71.0,60.0,0.6915401799800852
28.0,60.0,0.09341592027372607
